tree_x,tree_y
524563.410446,5125102.03141
524563.631668,5125102.57042
524563.854814,5125103.20399
524565.061065,5125105.40555
524565.636301,5125106.4453
524566.257207,5125107.46414
524566.866175,5125108.49362
524567.694261,5125109.51338
524567.82194,5125109.71785
524568.085788,5125110.3896
524568.764042,5125111.69999
524569.245407,5125112.75357
524569.953657,5125113.90528
524571.280984,5125116.27943
524571.756835,5125116.69879
524571.941116,5125117.27326
524572.543001,5125118.35873
524573.204405,5125119.57919
524573.890836,5125120.66588
524574.527308,5125121.67063
524575.220035,5125122.79641
524575.690639,5125124.02422
524549.508898,5125072.56417
524550.068835,5125073.56227
524550.555056,5125074.66288
524551.230568,5125075.83908
524551.890099,5125076.99077
524552.688168,5125078.43341
524553.353518,5125079.57086
524553.731991,5125080.18573
524554.459072,5125081.50524
524555.140614,5125082.56552
524555.711678,5125083.91271
524556.248606,5125084.87338
524557.173958,5125086.22616
524557.724521,5125087.32594
524558.523396,5125088.38915
524559.01594,5125089.35766
524559.55213,5125090.41021
524560.181416,5125091.36301
524560.859527,5125092.6086
524561.137383,5125093.63311
524561.962196,5125094.81416
524562.718345,5125095.94069
524563.176952,5125096.54167
524563.343028,5125097.16398
524563.913877,5125098.15823
524564.568555,5125099.28937
524565.116081,5125100.26357
524565.770283,5125101.42173
524566.202452,5125102.3215
524566.767206,5125103.22564
524567.631281,5125104.41414
524568.159788,5125105.76781
524568.652285,5125106.8106
524569.429462,5125107.93345
524569.990944,5125108.90814
524570.845022,5125110.23929
524571.150635,5125110.78687
524571.374057,5125111.20641
524572.021445,5125112.33113
524572.563592,5125113.25927
524573.213915,5125114.40793
524573.849872,5125115.51821
524574.452441,5125116.70922
524575.091045,5125117.76008
524575.62065,5125118.60021
524576.160755,5125119.45068
524576.883953,5125120.54253
524577.890656,5125121.58372
524577.098111,5125121.57051
524549.073731,5125066.45356
524549.686815,5125067.48367
524550.294013,5125068.68324
524550.961901,5125069.63635
524551.337884,5125070.61963
524551.843671,5125071.44023
524552.430686,5125072.3914
524553.123238,5125073.37019
524553.511925,5125074.63097
524554.237447,5125075.73376
524554.853076,5125076.8659
524555.566315,5125078.05049
524556.281144,5125079.1976
524556.802849,5125080.19437
524557.470409,5125081.46732
524558.10917,5125082.53007
524558.829874,5125083.44642
524559.4013,5125084.82367
524560.056684,5125086.02443
524560.635839,5125086.97891
524561.191852,5125088.02258
524561.827952,5125089.24925
524561.43754,5125088.31147
524562.434465,5125089.43527
524561.531464,5125088.79263
524562.471461,5125090.22949
524562.803488,5125090.80396
524562.993967,5125091.27886
524563.804852,5125092.42543
524564.554885,5125093.64432
524565.126369,5125094.71742
524565.664893,5125095.82115
524566.316892,5125096.83011
524566.826972,5125098.12059
524567.496819,5125098.98975
524568.170501,5125100.17424
524568.712481,5125101.26593
524569.353646,5125102.30539
524570.05183,5125103.36629
524570.557911,5125104.45403
524571.263808,5125105.52914
524571.73465,5125106.16975
524572.044023,5125106.62976
524572.434397,5125107.76057
524573.224078,5125108.90655
524573.660608,5125109.91888
524574.358423,5125110.96242
524574.989595,5125112.17984
524575.4978,5125113.28516
524576.221159,5125114.16625
524576.755581,5125115.22024
524577.338072,5125116.23845
524577.73185,5125117.07073
524578.349058,5125118.23696
524578.83681,5125119.10176
524548.773668,5125061.01969
524549.509908,5125061.81491
524550.071006,5125062.93677
524550.566935,5125063.96392
524551.157215,5125065.06335
524551.821451,5125066.32873
524552.546413,5125067.49041
524553.056219,5125068.3607
524553.71128,5125069.50738
524554.392506,5125070.61635
524554.887918,5125071.61801
524555.510746,5125072.69916
524555.953062,5125073.7222
524556.761013,5125074.67683
524557.261797,5125075.82627
524557.907195,5125076.81778
524558.352721,5125077.92055
524559.065121,5125078.96115
524559.646194,5125080.04937
524560.229689,5125080.98782
524560.802943,5125082.26014
524561.48406,5125083.29544
524562.206763,5125084.47518
524563.297141,5125086.55865
524563.861977,5125087.52442
524564.440247,5125088.58394
524565.115957,5125089.56024
524565.296069,5125090.6919
